Date,open,high,low,close,volume,logret_1,overnight_ret,roc_5,rsi_14,macd_hist,atr_14_pct,vol_z_21,dist_sma20,roc_21,dist_sma50,dist_sma200,dist_sma400,bb_width_20_2,sma_slope_20,from_52w_high,from_52w_low,vol_ratio_21_252,vol_ratio_252_1260,trend_ok,drawdown_long,roc_1260,trend_slope_3y,from_ath,hv_yz_30_ext,hv_yz_270_ext,iv_atm_30_ext,iv_atm_90_ext,iv_atm_360_ext,iv_skew_30_ext,pc_ratio_oi_30_ext,pc_ratio_vol_30_ext,iv_ts_ratio_30_360,iv_minus_hv30,news_sent_mean,news_mean_w3,news_std_w3,news_mean_w21,news_std_w21,news_mean_w63,news_std_w63,news_mean_w126,news_std_w126
24-02-23,93.53,94.14,92.3186,93.5,57053812,-0.024509995,-0.024189191,-4.7376465,42.158402,-1.1508577,3.7722227,-0.57753474,-0.066400399,-3.7867874,-0.005507468,-0.14656954,-0.31152167,16.876732,-0.11495,-0.44777486,0.14275238,1.0060133,1.3575674,0,-0.56145264,25.897101,-0.000341284,-0.49884896,0.4822,0.4924,0.3923,0.4123,0.383,5.69,0.55,0.46,1.024281984,-0.0899,0,2,2.828427125,0.166666667,1.781741613,-0.055555556,1.58392498,-0.361111111,2.262024698
27-02-23,94.28,94.78,93.14,93.76,47470321,0.00277689,0.008307642,-3.5390947,42.749819,-1.1316491,3.6180039,-0.84483209,-0.059823918,-5.5029228,-0.003011382,-0.14360623,-0.30844577,17.711314,-0.1963,-0.44623926,0.14593009,0.99717026,1.3517597,0,-0.56145264,25.013333,-0.000349026,-0.49745539,0.4837,0.4916,0.3877,0.4075,0.3796,6.25,0.58,0.42,1.021338251,-0.096,0,0,0,0.166666667,1.781741613,-0.055555556,1.58392498,-0.313492063,2.205258581
28-02-23,93.14,94.69,92.92,94.23,43959290,0.005000276,-0.006634588,-0.37005709,43.867144,-1.0361944,3.4769884,-0.877595,-0.052107434,-7.834507,0.001421949,-0.13887512,-0.30386123,18.384076,-0.2898,-0.44346337,0.15167441,0.96997174,1.3511814,0,-0.56145264,23.827984,-0.000357232,-0.49493623,0.4732,0.4913,0.3749,0.4002,0.3764,4.45,0.58,0.37,0.996014878,-0.0983,0,0,0,0.166666667,1.781741613,-0.055555556,1.58392498,-0.313492063,2.205258581
01-03-23,93.87,94.68,91.59,92.17,52299524,-0.022103904,-0.003827756,-3.7791001,40.16694,-1.0570509,3.5402564,-0.57873364,-0.067690316,-8.3341621,-0.021244422,-0.15713205,-0.31795433,19.193575,-0.3888,-0.45563004,0.12649719,0.97366834,1.3518621,0,-0.56145264,21.919602,-0.000365673,-0.50597763,0.4733,0.4905,0.3854,0.4104,0.3822,5.52,0.59,0.55,1.00837258,-0.0879,0,0,0,0.166666667,1.781741613,-0.103174603,1.535709159,-0.313492063,2.205258581
02-03-23,91.41,92.23,90.39,92.13,55574820,-0.000434075,-0.008279816,-3.8509706,40.096216,-1.0183948,3.4314638,-0.45647909,-0.061917708,-10.66615,-0.022555593,-0.15669099,-0.31714034,19.262866,-0.4742,-0.45586628,0.12600831,0.94982561,1.3513223,0,-0.56145264,21.828821,-0.000373734,-0.50619203,0.473,0.4895,0.3764,0.4068,0.3798,5.09,0.6,0.46,0.99104792,-0.0966,0,0,0,0.166666667,1.781741613,-0.103174603,1.535709159,-0.313492063,2.205258581
03-03-23,92.74,94.94,92.66,94.9,55759609,0.029623082,0.006599256,1.4973262,47.049259,-0.76281508,3.3048546,-0.41301078,-0.024771222,-9.7479791,0.004704856,-0.13070288,-0.29567646,13.819638,-0.603,-0.43950625,0.15986311,0.96457114,1.3532322,0,-0.56145264,27.088286,-0.000381727,-0.49134509,0.4658,0.4876,0.35,0.3953,0.3738,4.8,0.63,0.49,0.936329588,-0.1158,0,0,0,0.166666667,1.781741613,-0.103174603,1.535709159,-0.313492063,2.205258581
06-03-23,95.19,96.545,93.74,93.75,52112355,-0.012192041,0.003051189,-0.010665529,44.728105,-0.63309631,3.3201517,-0.47813266,-0.031793325,-16.969268,-0.009265874,-0.14038589,-0.30327004,12.969343,-0.67145,-0.44629832,0.14580787,0.78368607,1.3515079,0,-0.56145264,24.97917,-0.000389486,-0.49750898,0.3324,0.4885,0.3602,0.3958,0.3753,4.91,0.73,0.59,0.959765521,0.0278,-4,-1.333333333,1.885618083,-0.023809524,1.990909044,-0.119047619,1.570345947,-0.305555556,2.190125547
07-03-23,94.06,95.09,92.78,93.55,49100668,-0.002135612,0.003301212,-0.72163854,44.318605,-0.5269951,3.2659654,-0.62255777,-0.029534114,-9.5173614,-0.012794104,-0.14168605,-0.30378934,12.29249,-0.63125,-0.44747955,0.14336348,0.51849841,1.3512204,0,-0.56145264,22.800454,-0.000397545,-0.49858097,0.33,0.4872,0.3597,0.3952,0.3776,4.48,0.71,0.84,0.952595339,0.0297,0,-1.333333333,1.885618083,0.214285714,1.651632876,-0.119047619,1.570345947,-0.257936508,2.130203883
08-03-23,93.6,94.165,92.18,93.92,44899128,0.003947303,0.000534331,1.8986655,45.316052,-0.40368172,3.1716992,-0.79846519,-0.021539263,-8.0837737,-0.011004054,-0.13776133,-0.30007449,11.246038,-0.53605,-0.44529427,0.1478856,0.52269079,1.3424077,0,-0.56145264,22.161234,-0.000405688,-0.4965978,0.327,0.4862,0.3514,0.3903,0.3745,5.3,0.71,0.86,0.938317757,0.0244,0,-1.333333333,1.885618083,0.095238095,1.570706905,-0.119047619,1.570345947,-0.257936508,2.130203883
09-03-23,93.68,96.21,92.18,92.25,56218705,-0.017941073,-0.002558637,0.13025073,41.686334,-0.40531234,3.3105055,0.23306079,-0.035016606,-9.6562531,-0.030019452,-0.15249607,-0.31153806,11.073635,-0.4267,-0.45515755,0.12747495,0.5309981,1.3426315,0,-0.56145264,19.417476,-0.00041459,-0.50554884,0.324,0.4863,0.3843,0.4086,0.3824,5.15,0.72,0.7,1.004968619,0.0603,0,0,0,0.095238095,1.570706905,-0.119047619,1.570345947,-0.257936508,2.130203883
